model	path	required	types	minimum	maximum	min_length	max_length	min_items	max_items	format	pattern	known_values
firewall	applied_to	yes	array	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/applied_to_resources	no	array	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/applied_to_resources[]/server	no	object	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/applied_to_resources[]/server/id	yes	integer	1	9007199254740991	-	-	-	-	int64	-	-
firewall	applied_to[]/applied_to_resources[]/type	no	string	-	-	-	-	-	-	-	-	server
firewall	applied_to[]/label_selector	no	object	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/label_selector/selector	yes	string	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/server	no	object	-	-	-	-	-	-	-	-	-
firewall	applied_to[]/server/id	yes	integer	1	9007199254740991	-	-	-	-	int64	-	-
firewall	applied_to[]/type	yes	string	-	-	-	-	-	-	-	-	server|label_selector
firewall	created	yes	string	-	-	-	-	-	-	date-time	-	-
firewall	id	yes	integer	1	9007199254740991	-	-	-	-	int64	-	-
firewall	labels	no	object	-	-	-	-	-	-	-	-	-
firewall	name	yes	string	-	-	1	128	-	-	-	-	-
firewall	rules	yes	array	-	-	-	-	-	-	-	-	-
firewall	rules[]/destination_ips	yes	array	-	-	-	-	-	-	-	-	-
firewall	rules[]/destination_ips[]	yes	string	-	-	-	-	-	-	-	-	-
firewall	rules[]/direction	yes	string	-	-	-	-	-	-	-	-	in|out
firewall	rules[]/port	yes	null|string	-	-	-	-	-	-	-	-	-
firewall	rules[]/protocol	yes	string	-	-	-	-	-	-	-	-	tcp|udp|icmp|esp|gre
firewall	rules[]/source_ips	yes	array	-	-	-	-	-	-	-	-	-
firewall	rules[]/source_ips[]	yes	string	-	-	-	-	-	-	-	-	-
floating_ip	blocked	yes	boolean	-	-	-	-	-	-	-	-	-
floating_ip	created	yes	string	-	-	-	-	-	-	date-time	-	-
floating_ip	dns_ptr	yes	array	-	-	-	-	-	-	-	-	-
floating_ip	dns_ptr[]/dns_ptr	yes	string	-	-	-	-	-	-	-	-	-
floating_ip	dns_ptr[]/ip	yes	string	-	-	-	-	-	-	-	-	-
floating_ip	home_location	yes	object	-	-	-	-	-	-	-	-	-
floating_ip	home_location/city	yes	string	-	-	-	-	-	-	-	-	-
